time,latitud,longitud,RRR24_Valor,Traza_Valor,CodigoNacional,nombreEstacion
2015-03-10 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-11 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-12 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-13 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-14 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-15 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-16 12:00:00,-53.25361,-70.32611,5.5,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-17 12:00:00,-53.25361,-70.32611,1.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-18 12:00:00,-53.25361,-70.32611,0.2,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-19 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-20 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-21 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-22 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-23 12:00:00,-53.25361,-70.32611,0.6,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-24 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-25 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-26 12:00:00,-53.25361,-70.32611,0.0,1.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-27 12:00:00,-53.25361,-70.32611,0.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-28 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-29 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-30 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-03-31 12:00:00,-53.25361,-70.32611,0.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-01 12:00:00,-53.25361,-70.32611,6.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-02 12:00:00,-53.25361,-70.32611,1.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-03 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-04 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-05 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-06 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-07 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-08 12:00:00,-53.25361,-70.32611,5.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-09 12:00:00,-53.25361,-70.32611,0.7,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-10 12:00:00,-53.25361,-70.32611,1.8,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-11 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-12 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-13 12:00:00,-53.25361,-70.32611,4.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-14 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-15 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-16 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-17 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-18 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-19 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-20 12:00:00,-53.25361,-70.32611,0.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-21 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-22 12:00:00,-53.25361,-70.32611,0.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-23 12:00:00,-53.25361,-70.32611,1.5,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-24 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-25 12:00:00,-53.25361,-70.32611,2.5,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-26 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-27 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-28 12:00:00,-53.25361,-70.32611,2.8,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-29 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-04-30 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-02 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-03 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-04 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-05 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-06 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-07 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-08 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-09 12:00:00,-53.25361,-70.32611,14.2,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-10 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-11 12:00:00,-53.25361,-70.32611,0.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-12 12:00:00,-53.25361,-70.32611,0.9,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-13 12:00:00,-53.25361,-70.32611,5.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-14 12:00:00,-53.25361,-70.32611,2.7,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-15 12:00:00,-53.25361,-70.32611,2.4,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-16 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-17 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-18 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-19 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-20 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-22 12:00:00,-53.25361,-70.32611,0.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-23 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-24 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-25 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-26 12:00:00,-53.25361,-70.32611,0.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-27 12:00:00,-53.25361,-70.32611,0.5,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-28 12:00:00,-53.25361,-70.32611,0.9,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-29 12:00:00,-53.25361,-70.32611,27.5,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-30 12:00:00,-53.25361,-70.32611,0.9,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-05-31 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-01 12:00:00,-53.25361,-70.32611,0.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-02 12:00:00,-53.25361,-70.32611,7.5,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-03 12:00:00,-53.25361,-70.32611,15.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-04 12:00:00,-53.25361,-70.32611,1.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-05 12:00:00,-53.25361,-70.32611,1.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-06 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-07 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-08 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-09 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-10 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-11 12:00:00,-53.25361,-70.32611,0.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-12 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-13 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-14 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-15 12:00:00,-53.25361,-70.32611,0.5,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-16 12:00:00,-53.25361,-70.32611,19.5,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-17 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-18 12:00:00,-53.25361,-70.32611,0.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-19 12:00:00,-53.25361,-70.32611,7.7,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-20 12:00:00,-53.25361,-70.32611,1.8,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-21 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-22 12:00:00,-53.25361,-70.32611,0.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-23 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-24 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-25 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-26 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-27 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-06-30 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-01 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-02 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-03 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-04 12:00:00,-53.25361,-70.32611,10.8,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-06 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-07 12:00:00,-53.25361,-70.32611,3.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-08 12:00:00,-53.25361,-70.32611,4.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-09 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-10 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-11 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-12 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-13 12:00:00,-53.25361,-70.32611,0.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-14 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-15 12:00:00,-53.25361,-70.32611,0.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-17 12:00:00,-53.25361,-70.32611,0.9,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-18 12:00:00,-53.25361,-70.32611,0.0,1.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-20 12:00:00,-53.25361,-70.32611,0.2,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-21 12:00:00,-53.25361,-70.32611,0.2,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-22 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-23 12:00:00,-53.25361,-70.32611,5.5,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-24 12:00:00,-53.25361,-70.32611,4.7,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-25 12:00:00,-53.25361,-70.32611,36.6,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-26 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-27 12:00:00,-53.25361,-70.32611,0.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-28 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-29 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-30 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-07-31 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-01 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-02 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-03 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-04 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-05 12:00:00,-53.25361,-70.32611,4.4,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-06 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-07 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-08 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-09 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-10 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-11 12:00:00,-53.25361,-70.32611,0.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-12 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-13 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-14 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-15 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-16 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-17 12:00:00,-53.25361,-70.32611,8.9,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-18 12:00:00,-53.25361,-70.32611,4.2,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-19 12:00:00,-53.25361,-70.32611,1.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-20 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-21 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-22 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-23 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-24 12:00:00,-53.25361,-70.32611,0.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-25 12:00:00,-53.25361,-70.32611,0.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-26 12:00:00,-53.25361,-70.32611,2.8,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-27 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-28 12:00:00,-53.25361,-70.32611,2.9,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-29 12:00:00,-53.25361,-70.32611,2.2,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-30 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-08-31 12:00:00,-53.25361,-70.32611,1.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-01 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-02 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-03 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-04 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-05 12:00:00,-53.25361,-70.32611,0.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-06 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-07 12:00:00,-53.25361,-70.32611,0.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-08 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-09 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-10 12:00:00,-53.25361,-70.32611,0.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-11 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-12 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-13 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-14 12:00:00,-53.25361,-70.32611,1.9,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-15 12:00:00,-53.25361,-70.32611,1.2,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-16 12:00:00,-53.25361,-70.32611,0.5,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-17 12:00:00,-53.25361,-70.32611,0.4,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-18 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-19 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-20 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-21 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-22 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-23 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-24 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-25 12:00:00,-53.25361,-70.32611,0.7,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-26 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-27 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-28 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-29 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-09-30 12:00:00,-53.25361,-70.32611,0.2,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-01 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-02 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-03 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-04 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-05 12:00:00,-53.25361,-70.32611,12.4,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-06 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-07 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-08 12:00:00,-53.25361,-70.32611,0.6,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-09 12:00:00,-53.25361,-70.32611,0.4,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-10 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-11 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-12 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-13 12:00:00,-53.25361,-70.32611,4.5,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-14 12:00:00,-53.25361,-70.32611,5.7,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-15 12:00:00,-53.25361,-70.32611,5.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-16 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-17 12:00:00,-53.25361,-70.32611,0.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-18 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-19 12:00:00,-53.25361,-70.32611,0.3,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-20 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-21 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-22 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-23 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-24 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-25 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-26 12:00:00,-53.25361,-70.32611,4.5,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-27 12:00:00,-53.25361,-70.32611,0.4,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-28 12:00:00,-53.25361,-70.32611,3.1,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-29 12:00:00,-53.25361,-70.32611,0.2,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-30 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-10-31 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-11-01 12:00:00,-53.25361,-70.32611,,,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-11-02 12:00:00,-53.25361,-70.32611,0.2,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-11-03 12:00:00,-53.25361,-70.32611,6.9,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-11-04 12:00:00,-53.25361,-70.32611,0.8,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-11-05 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-11-06 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-11-07 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-11-08 12:00:00,-53.25361,-70.32611,0.0,1.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-11-09 12:00:00,-53.25361,-70.32611,0.2,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-11-10 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
2015-11-11 12:00:00,-53.25361,-70.32611,0.0,0.0,530005.0,"Fuentes Martínez, Porvenir Ad."
